edge,congestion,entities nb
edge9_5,0.000000,0
edge9_4,0.000000,0
edge9_3,0.000000,0
edge9_2,0.000000,0
edge9_1,0.000000,0
edge8_3,0.000000,0
edge8_2,0.000000,0
edge8_1,0.000000,0
edge7_7,0.000000,0
edge7_6,0.000000,0
edge7_5,0.000000,0
edge7_4,0.000000,0
edge7_3,0.000000,0
edge7_2,0.000000,0
edge7_1,0.000000,0
edge76_2,0.000000,0
edge76_1,0.000000,0
edge75_5,0.000000,0
edge75_4,0.000000,0
edge75_3,0.000000,0
edge75_2,0.000000,0
edge75_1,0.000000,0
edge74_4,0.000000,0
edge74_3,0.000000,0
edge74_2,0.000000,0
edge74_1,0.000000,0
edge73_2,0.000000,0
edge73_1,0.000000,0
edge72_5,0.000000,0
edge72_4,0.000000,0
edge72_3,0.000000,0
edge72_2,0.000000,0
edge72_1,0.000000,0
edge71_2,0.000000,0
edge71_1,0.000000,0
edge70_5,0.000000,0
edge70_4,0.000000,0
edge70_3,0.000000,0
edge70_2,0.000000,0
edge70_1,0.000000,0
edge6_3,0.000000,0
edge6_2,0.000000,0
edge6_1,0.000000,0
edge69_2,0.000000,0
edge69_1,0.000000,0
edge68_4,0.000000,0
edge68_3,0.000000,0
edge68_2,0.000000,0
edge68_1,0.000000,0
edge67_2,0.000000,0
edge67_1,0.000000,0
edge66_5,0.000000,0
edge66_4,0.000000,0
edge66_3,0.000000,0
edge66_2,0.000000,0
edge66_1,0.000000,0
edge65_2,0.000000,0
edge65_1,0.000000,0
edge64_4,0.000000,0
edge64_3,0.000000,0
edge64_2,0.000000,0
edge64_1,0.000000,0
edge63_4,0.000000,0
edge63_3,0.000000,0
edge63_2,0.000000,0
edge63_1,0.000000,0
edge62_4,0.000000,0
edge62_3,0.000000,0
edge62_2,0.000000,0
edge62_1,0.000000,0
edge61_4,0.000000,0
edge61_3,0.000000,0
edge61_2,0.000000,0
edge61_1,0.000000,0
edge60_8,0.000000,0
edge60_7,0.000000,0
edge60_6,0.000000,0
edge60_5,0.000000,0
edge60_4,0.000000,0
edge60_3,0.000000,0
edge60_2,0.000000,0
edge60_1,0.000000,0
edge5_9,0.000000,0
edge5_8,0.000000,0
edge5_7,0.000000,0
edge5_6,0.000000,0
edge5_5,0.000000,0
edge5_4,0.000000,0
edge5_3,0.000000,0
edge5_2,0.000000,0
edge5_1,0.000000,0
edge59_4,0.000000,0
edge59_3,0.000000,0
edge59_2,0.000000,0
edge59_1,0.000000,0
edge58_3,0.000000,0
edge58_2,0.000000,0
edge58_1,0.000000,0
edge57_4,0.000000,0
edge57_3,0.000000,0
edge57_2,0.000000,0
edge57_1,0.000000,0
edge56_8,0.000000,0
edge56_7,0.000000,0
edge56_6,0.000000,0
edge56_5,0.000000,0
edge56_4,0.000000,0
edge56_3,0.000000,0
edge56_2,0.000000,0
edge56_1,0.000000,0
edge55_3,0.000000,0
edge55_2,0.000000,0
edge55_1,0.000000,0
edge54_4,0.000000,0
edge54_3,0.000000,0
edge54_2,0.000000,0
edge54_1,0.000000,0
edge53_3,0.000000,0
edge53_2,0.000000,0
edge53_1,0.000000,0
edge52_2,0.000000,0
edge52_1,0.000000,0
edge51_4,0.000000,0
edge51_3,0.000000,0
edge51_2,0.000000,0
edge51_1,0.000000,0
edge50_3,0.000000,0
edge50_2,0.000000,0
edge50_1,0.000000,0
edge4_7,0.000000,0
edge4_6,0.000000,0
edge4_5,0.000000,0
edge4_4,0.000000,0
edge4_3,0.000000,0
edge4_2,0.000000,0
edge4_1,0.000000,0
edge49_2,0.000000,0
edge49_1,0.000000,0
edge48_4,0.000000,0
edge48_3,0.000000,0
edge48_2,0.000000,0
edge48_1,0.000000,0
edge47_4,0.000000,0
edge47_3,0.000000,0
edge47_2,0.000000,0
edge47_1,0.000000,0
edge46_2,0.000000,0
edge46_1,0.000000,0
edge45_4,0.000000,0
edge45_3,0.000000,0
edge45_2,0.000000,0
edge45_1,0.000000,0
edge44_5,0.000000,0
edge44_4,0.000000,0
edge44_3,0.000000,0
edge44_2,0.000000,0
edge44_1,0.000000,0
edge43_4,0.000000,0
edge43_3,0.000000,0
edge43_2,0.000000,0
edge43_1,0.000000,0
edge42_2,0.000000,0
edge42_1,0.000000,0
edge41_5,0.000000,0
edge41_4,0.000000,0
edge41_3,0.000000,0
edge41_2,0.000000,0
edge41_1,0.000000,0
edge40_4,0.000000,0
edge40_3,0.000000,0
edge40_2,0.000000,0
edge40_1,0.000000,0
edge3_9,0.000000,0
edge3_8,0.000000,0
edge3_7,0.000000,0
edge3_6,0.000000,0
edge3_5,0.000000,0
edge3_4,0.000000,0
edge3_3,0.000000,0
edge3_2,0.000000,0
edge3_10,0.000000,0
edge3_1,0.000000,0
edge39_4,0.000000,0
edge39_3,0.000000,0
edge39_2,0.000000,0
edge39_1,0.000000,0
edge38_7,0.000000,0
edge38_6,0.000000,0
edge38_5,0.000000,0
edge38_4,0.000000,0
edge38_3,0.000000,0
edge38_2,0.000000,0
edge38_1,0.000000,0
edge37_7,0.000000,0
edge37_6,0.000000,0
edge37_5,0.000000,0
edge37_4,0.000000,0
edge37_3,0.000000,0
edge37_2,0.000000,0
edge37_1,0.000000,0
edge36_4,0.000000,0
edge36_3,0.000000,0
edge36_2,0.000000,0
edge36_1,0.000000,0
edge35_7,0.000000,0
edge35_6,0.000000,0
edge35_5,0.000000,0
edge35_4,0.000000,0
edge35_3,0.000000,0
edge35_2,0.000000,0
edge35_1,0.000000,0
edge34_4,0.000000,0
edge34_3,0.000000,0
edge34_2,0.000000,0
edge34_1,0.000000,0
edge33_4,0.000000,0
edge33_3,0.000000,0
edge33_2,0.000000,0
edge33_1,0.000000,0
edge32_5,0.000000,0
edge32_4,0.000000,0
edge32_3,0.000000,0
edge32_2,0.000000,0
edge32_1,0.000000,0
edge31_5,0.000000,0
edge31_4,0.000000,0
edge31_3,0.000000,0
edge31_2,0.000000,0
edge31_1,0.000000,0
edge30_4,0.000000,0
edge30_3,0.000000,0
edge30_2,0.000000,0
edge30_1,0.000000,0
edge2_9,0.000000,0
edge2_8,0.000000,0
edge2_7,0.000000,0
edge2_6,0.000000,0
edge2_5,0.000000,0
edge2_4,0.000000,0
edge2_3,0.000000,0
edge2_2,0.000000,0
edge2_1,0.000000,0
edge29_4,0.000000,0
edge29_3,0.000000,0
edge29_2,0.000000,0
edge29_1,0.000000,0
edge28_4,0.000000,0
edge28_3,0.000000,0
edge28_2,0.000000,0
edge28_1,0.000000,0
edge27_5,0.000000,0
edge27_4,0.000000,0
edge27_3,0.000000,0
edge27_2,0.000000,0
edge27_1,0.000000,0
edge26_2,0.000000,0
edge26_1,0.000000,0
edge25_2,0.000000,0
edge25_1,0.000000,0
edge24_5,0.000000,0
edge24_4,0.000000,0
edge24_3,0.000000,0
edge24_2,0.000000,0
edge24_1,0.000000,0
edge23_3,0.000000,0
edge23_2,0.000000,0
edge23_1,0.000000,0
edge22_4,0.000000,0
edge22_3,0.000000,0
edge22_2,0.000000,0
edge22_1,0.000000,0
edge21_5,0.000000,0
edge21_4,0.000000,0
edge21_3,0.000000,0
edge21_2,0.000000,0
edge21_1,0.000000,0
edge20_3,0.000000,0
edge20_2,0.000000,0
edge20_1,0.000000,0
edge1_9,0.000000,0
edge1_8,0.000000,0
edge1_7,0.000000,0
edge1_6,0.000000,0
edge1_5,0.000000,0
edge1_4,0.000000,0
edge1_3,0.000000,0
edge1_2,0.000000,0
edge1_10,0.000000,0
edge1_1,0.000000,0
edge19_4,0.000000,0
edge19_3,0.000000,0
edge19_2,0.000000,0
edge19_1,0.000000,0
edge18_4,0.000000,0
edge18_3,0.000000,0
edge18_2,0.000000,0
edge18_1,0.000000,0
edge17_3,0.000000,0
edge17_2,0.000000,0
edge17_1,0.000000,0
edge16_4,0.000000,0
edge16_3,0.000000,0
edge16_2,0.000000,0
edge16_1,0.000000,0
edge15_5,0.000000,0
edge15_4,0.000000,0
edge15_3,0.000000,0
edge15_2,0.000000,0
edge15_1,0.000000,0
edge14_7,0.000000,0
edge14_6,0.000000,0
edge14_5,0.000000,0
edge14_4,0.000000,0
edge14_3,0.000000,0
edge14_2,0.000000,0
edge14_1,0.000000,0
edge13_3,0.000000,0
edge13_2,0.000000,0
edge13_1,0.000000,0
edge12_5,0.000000,0
edge12_4,0.000000,0
edge12_3,0.000000,0
edge12_2,0.000000,0
edge12_1,0.000000,0
edge11_5,0.000000,0
edge11_4,0.000000,0
edge11_3,0.000000,0
edge11_2,0.000000,0
edge11_1,0.000000,0
edge10_5,0.000000,0
edge10_4,0.000000,0
edge10_3,0.000000,0
edge10_2,0.000000,0
edge10_1,0.000000,0
